MUNIDESC,SF_BUCKET,MEAN_PPSF,MEDIAN_PPSF,STD_PPSF,SAMPLE_SIZE,TIME_BAND
10TH WARD -  MCKEESPORT,1001–1500,15.937925721866355,10.476190476190476,11.046559984945432,7,2012
10TH WARD -  MCKEESPORT,1501–2000,7.526041666666667,7.526041666666667,9.980517588622623,2,2012
10TH WARD -  MCKEESPORT,2001–2500,11.977351916376309,11.977351916376309,,1,2012
10TH WARD - PITTSBURGH,0–1000,56.370272113850135,55.5668016194332,34.75536876828143,19,2012
10TH WARD - PITTSBURGH,1001–1500,62.49211972708462,61.45994167095557,35.78253076306461,64,2012
10TH WARD - PITTSBURGH,1501–2000,55.39723166264445,51.57297576070139,36.469925354745975,25,2012
10TH WARD - PITTSBURGH,2001–2500,44.75335943693895,50.15099789915966,28.42217739800274,8,2012
10TH WARD - PITTSBURGH,2501–3000,70.54308274774974,70.54308274774974,10.473422180115058,2,2012
10TH WARD - PITTSBURGH,3001+,24.027126070251196,24.027126070251196,2.0649360753021684,2,2012
11TH WARD  - MCKEESPORT,1001–1500,27.004112873713606,28.663185159551603,13.873520355092916,8,2012
11TH WARD  - MCKEESPORT,1501–2000,30.491961741961745,30.491961741961745,15.15588557762986,2,2012
11TH WARD - PITTSBURGH,0–1000,92.41863905325444,92.41863905325444,110.3023817694104,2,2012
11TH WARD - PITTSBURGH,1001–1500,79.73666034014519,82.35283941647329,50.343257245875655,18,2012
11TH WARD - PITTSBURGH,1501–2000,85.21685017497322,102.97793993446167,56.60039368109676,18,2012
11TH WARD - PITTSBURGH,2001–2500,56.71086133739948,30.430487578342053,50.87902050695047,12,2012
11TH WARD - PITTSBURGH,2501–3000,77.02562643777493,98.33077513430544,46.57715361756572,19,2012
11TH WARD - PITTSBURGH,3001+,96.377873223837,101.86976144422952,42.09809573800135,13,2012
12TH WARD  - MCKEESPORT,0–1000,36.84165913200724,21.205357142857142,27.635261950255547,3,2012
12TH WARD  - MCKEESPORT,1001–1500,70.01702679216146,76.86084142394822,26.677471000300635,11,2012
12TH WARD  - MCKEESPORT,1501–2000,16.803349261698738,16.803349261698738,18.34508165147328,2,2012
12TH WARD - PITTSBURGH,0–1000,15.329218106995883,15.329218106995883,,1,2012
12TH WARD - PITTSBURGH,1001–1500,8.048105671647845,6.428386428386428,8.659873582559134,14,2012
12TH WARD - PITTSBURGH,1501–2000,5.804133099884385,4.875334983989196,3.6223010184649866,8,2012
12TH WARD - PITTSBURGH,2001–2500,6.950858529094287,6.950858529094287,9.54279012367699,2,2012
13TH WARD - PITTSBURGH,0–1000,11.908838388717683,12.939958592132506,5.359480081576957,5,2012
13TH WARD - PITTSBURGH,1001–1500,7.549889341138109,4.433497536945813,6.335896385906741,15,2012
13TH WARD - PITTSBURGH,1501–2000,6.61343655929253,4.509747153059255,9.984009364495714,14,2012
13TH WARD - PITTSBURGH,2001–2500,2.0469846731831196,1.8589132507149664,0.6885128435249692,3,2012
13TH WARD - PITTSBURGH,3001+,2.5871981602146414,2.5871981602146414,,1,2012
14TH WARD - PITTSBURGH,0–1000,140.45158938150124,116.3426220244402,62.131972826298785,8,2012
14TH WARD - PITTSBURGH,1001–1500,131.1019706809983,124.50787401574803,56.87045356904018,66,2012
14TH WARD - PITTSBURGH,1501–2000,150.95245069291417,150.8120649651972,58.20884818909901,69,2012
14TH WARD - PITTSBURGH,2001–2500,137.3305249327184,121.04787714543812,59.90302678246679,47,2012
14TH WARD - PITTSBURGH,2501–3000,134.649398063054,126.01000384763373,66.58194836561661,29,2012
14TH WARD - PITTSBURGH,3001+,133.20428169401302,131.88996434029548,62.31613299065627,55,2012
15TH WARD - PITTSBURGH,0–1000,60.42667393618209,37.80691269485532,54.269316819486974,18,2012
15TH WARD - PITTSBURGH,1001–1500,69.15192255925102,70.3125,41.84052958603336,53,2012
15TH WARD - PITTSBURGH,1501–2000,57.875340495366146,64.03539409029366,29.657736381974626,24,2012
15TH WARD - PITTSBURGH,2001–2500,59.14578228903048,56.38335141488112,15.963631403830696,8,2012
15TH WARD - PITTSBURGH,2501–3000,52.96087207604713,39.11806543385491,58.28751960653177,3,2012
15TH WARD - PITTSBURGH,3001+,22.724364124653142,22.724364124653142,31.111186010303392,2,2012
16TH WARD - PITTSBURGH,0–1000,127.98021187909612,61.333333333333336,115.57450953065661,7,2012
16TH WARD - PITTSBURGH,1001–1500,47.46943096997692,24.03846153846154,51.105304172340695,25,2012
16TH WARD - PITTSBURGH,1501–2000,67.667836695072,69.97679901720912,53.65268729047807,30,2012
16TH WARD - PITTSBURGH,2001–2500,37.56731160649935,16.13826120840001,53.98958629922322,6,2012
16TH WARD - PITTSBURGH,2501–3000,89.28023138845249,70.62780269058295,38.5376917608662,3,2012
16TH WARD - PITTSBURGH,3001+,23.10370911367312,23.10370911367312,16.09240613973767,2,2012
17TH WARD - PITTSBURGH,0–1000,109.31524204013017,108.28025477707008,79.152938602885,5,2012
17TH WARD - PITTSBURGH,1001–1500,122.03410087953645,126.76566052709481,65.35476577298535,40,2012
17TH WARD - PITTSBURGH,1501–2000,99.77936962534748,88.62876254180603,71.59841783523349,45,2012
17TH WARD - PITTSBURGH,2001–2500,79.76861162107596,60.648148148148145,66.2646545592301,7,2012
17TH WARD - PITTSBURGH,2501–3000,19.92268047296932,19.92268047296932,21.4191276512159,2,2012
17TH WARD - PITTSBURGH,3001+,63.09148264984227,63.09148264984227,,1,2012
18TH WARD - PITTSBURGH,0–1000,42.21751797979905,42.46064814814815,37.94915287673122,6,2012
18TH WARD - PITTSBURGH,1001–1500,23.285314308994774,12.096774193548388,31.79750758978153,29,2012
