MUNIDESC,SALE_YEAR,annual_sale_count
10TH WARD -  MCKEESPORT,2012,9
10TH WARD -  MCKEESPORT,2013,6
10TH WARD -  MCKEESPORT,2014,2
10TH WARD -  MCKEESPORT,2017,3
10TH WARD -  MCKEESPORT,2018,5
10TH WARD -  MCKEESPORT,2019,1
10TH WARD -  MCKEESPORT,2020,2
10TH WARD -  MCKEESPORT,2021,1
10TH WARD -  MCKEESPORT,2022,4
10TH WARD -  MCKEESPORT,2023,4
10TH WARD -  MCKEESPORT,2024,4
10TH WARD -  MCKEESPORT,2025,2
10TH WARD - PITTSBURGH,2012,118
10TH WARD - PITTSBURGH,2013,63
10TH WARD - PITTSBURGH,2014,27
10TH WARD - PITTSBURGH,2015,36
10TH WARD - PITTSBURGH,2016,46
10TH WARD - PITTSBURGH,2017,44
10TH WARD - PITTSBURGH,2018,61
10TH WARD - PITTSBURGH,2019,38
10TH WARD - PITTSBURGH,2020,61
10TH WARD - PITTSBURGH,2021,60
10TH WARD - PITTSBURGH,2022,127
10TH WARD - PITTSBURGH,2023,109
10TH WARD - PITTSBURGH,2024,112
10TH WARD - PITTSBURGH,2025,61
11TH WARD  - MCKEESPORT,2012,10
11TH WARD  - MCKEESPORT,2013,7
11TH WARD  - MCKEESPORT,2014,3
11TH WARD  - MCKEESPORT,2015,3
11TH WARD  - MCKEESPORT,2016,1
11TH WARD  - MCKEESPORT,2017,1
11TH WARD  - MCKEESPORT,2018,8
11TH WARD  - MCKEESPORT,2019,6
11TH WARD  - MCKEESPORT,2020,10
11TH WARD  - MCKEESPORT,2021,6
11TH WARD  - MCKEESPORT,2022,16
11TH WARD  - MCKEESPORT,2023,15
11TH WARD  - MCKEESPORT,2024,10
11TH WARD  - MCKEESPORT,2025,4
11TH WARD - PITTSBURGH,2012,82
11TH WARD - PITTSBURGH,2013,40
11TH WARD - PITTSBURGH,2014,34
11TH WARD - PITTSBURGH,2015,19
11TH WARD - PITTSBURGH,2016,21
11TH WARD - PITTSBURGH,2017,29
11TH WARD - PITTSBURGH,2018,41
11TH WARD - PITTSBURGH,2019,23
11TH WARD - PITTSBURGH,2020,57
11TH WARD - PITTSBURGH,2021,43
11TH WARD - PITTSBURGH,2022,56
11TH WARD - PITTSBURGH,2023,73
11TH WARD - PITTSBURGH,2024,64
11TH WARD - PITTSBURGH,2025,27
12TH WARD  - MCKEESPORT,2012,15
12TH WARD  - MCKEESPORT,2013,13
12TH WARD  - MCKEESPORT,2014,2
12TH WARD  - MCKEESPORT,2015,2
12TH WARD  - MCKEESPORT,2016,6
12TH WARD  - MCKEESPORT,2017,6
12TH WARD  - MCKEESPORT,2018,10
12TH WARD  - MCKEESPORT,2019,6
12TH WARD  - MCKEESPORT,2020,6
12TH WARD  - MCKEESPORT,2021,5
12TH WARD  - MCKEESPORT,2022,17
12TH WARD  - MCKEESPORT,2023,14
12TH WARD  - MCKEESPORT,2024,7
12TH WARD  - MCKEESPORT,2025,2
12TH WARD - PITTSBURGH,2012,23
12TH WARD - PITTSBURGH,2013,15
12TH WARD - PITTSBURGH,2014,1
12TH WARD - PITTSBURGH,2015,2
12TH WARD - PITTSBURGH,2016,6
12TH WARD - PITTSBURGH,2017,5
12TH WARD - PITTSBURGH,2018,6
12TH WARD - PITTSBURGH,2019,2
12TH WARD - PITTSBURGH,2020,9
12TH WARD - PITTSBURGH,2021,13
12TH WARD - PITTSBURGH,2022,16
12TH WARD - PITTSBURGH,2023,17
12TH WARD - PITTSBURGH,2024,15
12TH WARD - PITTSBURGH,2025,8
13TH WARD - PITTSBURGH,2012,35
13TH WARD - PITTSBURGH,2013,11
13TH WARD - PITTSBURGH,2014,1
13TH WARD - PITTSBURGH,2015,1
13TH WARD - PITTSBURGH,2016,7
13TH WARD - PITTSBURGH,2017,4
13TH WARD - PITTSBURGH,2018,6
13TH WARD - PITTSBURGH,2019,8
13TH WARD - PITTSBURGH,2020,6
13TH WARD - PITTSBURGH,2021,7
13TH WARD - PITTSBURGH,2022,12
13TH WARD - PITTSBURGH,2023,19
13TH WARD - PITTSBURGH,2024,15
13TH WARD - PITTSBURGH,2025,10
14TH WARD - PITTSBURGH,2012,257
14TH WARD - PITTSBURGH,2013,158
14TH WARD - PITTSBURGH,2014,95
14TH WARD - PITTSBURGH,2015,119
14TH WARD - PITTSBURGH,2016,139
14TH WARD - PITTSBURGH,2017,104
14TH WARD - PITTSBURGH,2018,142
14TH WARD - PITTSBURGH,2019,61
14TH WARD - PITTSBURGH,2020,133
14TH WARD - PITTSBURGH,2021,144
14TH WARD - PITTSBURGH,2022,247
14TH WARD - PITTSBURGH,2023,251
14TH WARD - PITTSBURGH,2024,210
14TH WARD - PITTSBURGH,2025,102
15TH WARD - PITTSBURGH,2012,107
15TH WARD - PITTSBURGH,2013,55
15TH WARD - PITTSBURGH,2014,25
15TH WARD - PITTSBURGH,2015,41
15TH WARD - PITTSBURGH,2016,55
15TH WARD - PITTSBURGH,2017,42
15TH WARD - PITTSBURGH,2018,50
15TH WARD - PITTSBURGH,2019,28
15TH WARD - PITTSBURGH,2020,50
15TH WARD - PITTSBURGH,2021,64
15TH WARD - PITTSBURGH,2022,98
15TH WARD - PITTSBURGH,2023,79
15TH WARD - PITTSBURGH,2024,89
15TH WARD - PITTSBURGH,2025,38
16TH WARD - PITTSBURGH,2012,70
16TH WARD - PITTSBURGH,2013,39
16TH WARD - PITTSBURGH,2014,15
16TH WARD - PITTSBURGH,2015,16
16TH WARD - PITTSBURGH,2016,37
