MUNIDESC,avg_ppsf_2020,2021,2022,2023,2024,avg_ppsf_2025,growth_pct,sale_count
MUNHALL,77.4005439745599,93.23407900634727,102.53513487370287,111.49830242998962,121.19971283065544,129.54313157865212,67.37,426
PENN HILLS,84.97335029257515,99.35344603986017,121.05760218352165,123.85442457891742,132.68300565430806,136.2919914729116,60.39,2045
29TH WARD - PITTSBURGH,66.57982729809876,88.57944828584132,98.32765294958072,92.00095225329103,99.63135812985759,103.1243000441088,54.89,386
WEST MIFFLIN,96.0086196378402,115.46340967906498,133.55990341839572,138.540165624375,140.86410051884033,143.65590470712155,49.63,857
RICHLAND,153.23510961446866,175.2325139705428,188.48425379231952,195.94905258015072,205.3028710965495,223.94812200262854,46.15,517
FOREST HILLS,110.87301892722655,125.01157356566993,143.82689138058944,159.31977439278353,156.3589069433821,161.84237394764702,45.97,428
NORTH VERSAILLES,85.7647384325278,94.9360689062044,108.42733211186678,113.76077780840498,124.2839898756822,124.84674106844211,45.57,384
MONROEVILLE,112.48572880347342,131.29536831075117,146.14100251685855,154.83334733545848,163.93084238257345,163.09253160390676,44.99,1270
27TH WARD - PITTSBURGH,85.84537200438984,95.998643732068,114.6967720516999,112.07642854656493,124.75562610361688,122.6389719012277,42.86,388
HAMPTON,160.4580416982282,175.5441055999994,201.74991404879094,204.62835313616452,208.48852450668753,228.8247343572253,42.61,836
15TH WARD - PITTSBURGH,119.4636854690547,145.63768903679,171.54327214492506,159.45454887135898,170.89154221023995,169.29194597290393,41.71,418
MARSHALL,166.07388788784576,187.72228442592188,214.73555654986637,215.2969148616232,234.89091364060138,234.87549686928634,41.43,583
PLUM,124.98773215185064,146.47708230343474,157.09819403471278,166.53882536791576,174.79985840197867,176.70288843200754,41.38,1102
PLEASANT HILLS,138.6918586063146,147.3869155717839,166.70639737627474,173.99138407501644,188.33177621883988,195.8105673966337,41.18,403
DORMONT,120.23930311089491,134.59320203529907,143.21692144794466,167.37617996722267,168.02476684461007,169.25072192613914,40.76,406
HARRISON,90.47906861473945,94.64222012045356,120.67795060035371,122.00970188310238,130.30066341314728,127.26148618468416,40.65,429
SCOTT,139.9422108416376,155.28487430769093,168.0582191649625,180.27125887978715,183.7412648574334,196.69463316483245,40.55,881
SOUTH PARK,139.23223907989833,152.3667765157773,168.53845026541723,173.00920920504817,179.71594477612751,195.2226101981606,40.21,612
UPPER ST. CLAIR,157.95953507168812,179.08935985013196,195.21077918577842,202.58899521902637,216.84212370398146,221.01361578480302,39.92,1127
SOUTH FAYETTE,142.21554440477703,157.3379081942815,171.2567926948456,177.598049778459,188.42146367293387,198.38932680853713,39.5,1041
BETHEL PARK,141.95840118363256,158.72180521096269,176.25899385780525,181.70515349819198,196.68078484137388,197.39092078165615,39.05,1534
BRENTWOOD,100.55813119479642,109.73157098848866,125.73860455083013,130.42175361018246,140.59873249114398,139.27300472820514,38.5,508
O''HARA,173.97681295717402,191.11100325843898,220.00496362665024,225.78430335133297,227.60827871549105,240.37723960124404,38.17,473
NORTH FAYETTE,139.24925590657566,161.9946835818521,170.23698640600975,176.6270384941313,185.10591277102606,190.6247554756861,36.89,654
MT.LEBANON,178.28705812956858,186.82769398495773,215.5661300371381,229.2626502659729,242.26373433477954,242.77521330529672,36.17,1587
