MUNIDESC,SALE_YEAR,SALE_MONTH,avg_ppsf,median_ppsf,sale_count
10TH WARD -  MCKEESPORT,2012,1,8.413461538461538,8.413461538461538,1
10TH WARD -  MCKEESPORT,2012,2,,,0
10TH WARD -  MCKEESPORT,2012,3,0.46875,0.46875,1
10TH WARD -  MCKEESPORT,2012,4,,,0
10TH WARD -  MCKEESPORT,2012,5,,,0
10TH WARD -  MCKEESPORT,2012,6,9.457236842105264,9.457236842105264,1
10TH WARD -  MCKEESPORT,2012,7,,,0
10TH WARD -  MCKEESPORT,2012,8,10.047653742394107,10.047653742394107,2
10TH WARD -  MCKEESPORT,2012,9,25.339795008912656,25.339795008912656,2
10TH WARD -  MCKEESPORT,2012,10,18.751608751608753,18.751608751608753,2
10TH WARD -  MCKEESPORT,2012,11,,,0
10TH WARD -  MCKEESPORT,2012,12,,,0
10TH WARD -  MCKEESPORT,2013,1,22.373540856031127,22.373540856031127,1
10TH WARD -  MCKEESPORT,2013,2,,,0
10TH WARD -  MCKEESPORT,2013,3,34.69545104086353,34.69545104086353,1
10TH WARD -  MCKEESPORT,2013,4,,,0
10TH WARD -  MCKEESPORT,2013,5,,,0
10TH WARD -  MCKEESPORT,2013,6,,,0
10TH WARD -  MCKEESPORT,2013,7,16.3591724299315,16.3591724299315,2
10TH WARD -  MCKEESPORT,2013,8,,,0
10TH WARD -  MCKEESPORT,2013,9,,,0
10TH WARD -  MCKEESPORT,2013,10,20.741394527802296,20.741394527802296,1
10TH WARD -  MCKEESPORT,2013,11,,,0
10TH WARD -  MCKEESPORT,2013,12,51.597744360902254,51.597744360902254,1
10TH WARD -  MCKEESPORT,2014,1,,,0
10TH WARD -  MCKEESPORT,2014,2,,,0
10TH WARD -  MCKEESPORT,2014,3,,,0
10TH WARD -  MCKEESPORT,2014,4,23.883474488313198,23.883474488313198,2
10TH WARD -  MCKEESPORT,2014,5,,,0
10TH WARD -  MCKEESPORT,2014,6,,,0
10TH WARD -  MCKEESPORT,2014,7,,,0
10TH WARD -  MCKEESPORT,2014,8,,,0
10TH WARD -  MCKEESPORT,2014,9,,,0
