USEDESC,MUNIDESC,SALE_YEAR,SALE_MONTH,avg_ppsf,median_ppsf,sale_count
CONDOMINIUM,10TH WARD - PITTSBURGH,2018,12,311.9815668202765,311.9815668202765,1
CONDOMINIUM,10TH WARD - PITTSBURGH,2020,7,432.27665706051874,432.27665706051874,1
CONDOMINIUM,10TH WARD - PITTSBURGH,2020,9,460.3434178250204,460.3434178250204,1
CONDOMINIUM,10TH WARD - PITTSBURGH,2021,2,209.0747330960854,209.0747330960854,1
CONDOMINIUM,10TH WARD - PITTSBURGH,2021,6,481.04956268221576,481.04956268221576,1
CONDOMINIUM,10TH WARD - PITTSBURGH,2021,8,403.81563488826777,380.55555555555554,3
CONDOMINIUM,10TH WARD - PITTSBURGH,2021,9,336.64933461819516,336.64933461819516,2
CONDOMINIUM,10TH WARD - PITTSBURGH,2022,3,316.5422311703927,316.5422311703927,2
CONDOMINIUM,10TH WARD - PITTSBURGH,2022,4,389.69570200573065,389.69570200573065,1
CONDOMINIUM,10TH WARD - PITTSBURGH,2022,8,352.7063112033792,352.7063112033792,2
CONDOMINIUM,10TH WARD - PITTSBURGH,2022,9,245.57637968727587,236.65480427046265,3
CONDOMINIUM,10TH WARD - PITTSBURGH,2022,11,385.5072463768116,385.5072463768116,1
CONDOMINIUM,10TH WARD - PITTSBURGH,2023,1,286.8972779851956,286.8972779851956,2
CONDOMINIUM,10TH WARD - PITTSBURGH,2023,4,503.7593984962406,503.7593984962406,1
CONDOMINIUM,10TH WARD - PITTSBURGH,2023,8,386.7403314917127,386.7403314917127,1
CONDOMINIUM,10TH WARD - PITTSBURGH,2023,11,324.0611961057024,324.0611961057024,1
CONDOMINIUM,10TH WARD - PITTSBURGH,2024,3,422.508038585209,422.508038585209,1
CONDOMINIUM,10TH WARD - PITTSBURGH,2024,4,315.40247678018574,315.40247678018574,1
CONDOMINIUM,10TH WARD - PITTSBURGH,2024,8,389.4080996884735,389.4080996884735,1
CONDOMINIUM,10TH WARD - PITTSBURGH,2024,11,333.6203185535945,333.6203185535945,1
CONDOMINIUM,10TH WARD - PITTSBURGH,2025,1,265.2492668621701,265.2492668621701,1
CONDOMINIUM,11TH WARD - PITTSBURGH,2012,6,137.11100153407844,121.26068376068376,3
CONDOMINIUM,11TH WARD - PITTSBURGH,2012,7,153.68984310408078,159.18803418803418,3
CONDOMINIUM,11TH WARD - PITTSBURGH,2012,9,143.65351629502572,143.65351629502572,1
CONDOMINIUM,11TH WARD - PITTSBURGH,2012,10,148.76348605856802,148.76348605856802,2
CONDOMINIUM,11TH WARD - PITTSBURGH,2013,1,88.51616432725207,88.51616432725207,2
CONDOMINIUM,11TH WARD - PITTSBURGH,2013,8,167.84379461076418,167.84379461076418,2
CONDOMINIUM,11TH WARD - PITTSBURGH,2013,12,175.1968503937008,175.1968503937008,1
CONDOMINIUM,11TH WARD - PITTSBURGH,2016,8,186.5079365079365,186.5079365079365,1
CONDOMINIUM,11TH WARD - PITTSBURGH,2017,5,187.03703703703704,187.03703703703704,1
CONDOMINIUM,11TH WARD - PITTSBURGH,2018,5,265.10480887792846,265.10480887792846,1
CONDOMINIUM,11TH WARD - PITTSBURGH,2019,6,187.22466960352423,187.22466960352423,1
CONDOMINIUM,11TH WARD - PITTSBURGH,2020,1,185.1851851851852,185.1851851851852,1
CONDOMINIUM,11TH WARD - PITTSBURGH,2020,5,206.55737704918033,206.55737704918033,1
CONDOMINIUM,11TH WARD - PITTSBURGH,2020,9,187.03703703703704,187.03703703703704,1
CONDOMINIUM,11TH WARD - PITTSBURGH,2022,12,257.14285714285717,257.14285714285717,1
CONDOMINIUM,11TH WARD - PITTSBURGH,2023,1,229.43037974683543,229.43037974683543,1
CONDOMINIUM,11TH WARD - PITTSBURGH,2023,6,201.90895741556537,201.90895741556537,1
CONDOMINIUM,11TH WARD - PITTSBURGH,2023,9,254.14364640883977,254.14364640883977,1
CONDOMINIUM,11TH WARD - PITTSBURGH,2024,2,239.0491452991453,239.0491452991453,1
CONDOMINIUM,11TH WARD - PITTSBURGH,2024,5,240.3846153846154,240.3846153846154,1
CONDOMINIUM,11TH WARD - PITTSBURGH,2024,10,265.6023222060958,265.6023222060958,1
CONDOMINIUM,11TH WARD - PITTSBURGH,2024,12,272.62180974477957,272.62180974477957,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2012,2,191.43520280039567,191.43520280039567,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2012,3,128.1818181818182,128.1818181818182,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2012,4,196.78502784897066,220.01205545509345,3
CONDOMINIUM,14TH WARD - PITTSBURGH,2012,5,151.17561153705734,152.27272727272728,3
CONDOMINIUM,14TH WARD - PITTSBURGH,2012,6,169.0229059217831,203.7477691850089,3
CONDOMINIUM,14TH WARD - PITTSBURGH,2012,7,163.0485338725986,163.0485338725986,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2012,8,243.7694613376817,238.4914032168608,3
CONDOMINIUM,14TH WARD - PITTSBURGH,2012,9,97.03196347031964,97.03196347031964,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2012,10,103.49586016559336,103.49586016559336,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2012,11,106.0162409865894,106.0162409865894,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2012,12,95.26627218934912,95.26627218934912,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2013,1,139.8181818181818,139.8181818181818,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2013,2,134.77636530284116,128.12737590130968,4
CONDOMINIUM,14TH WARD - PITTSBURGH,2013,3,111.11111111111111,111.11111111111111,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2013,4,107.8399170196214,107.8399170196214,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2013,5,144.54545454545453,144.54545454545453,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2013,7,244.02697508829587,260.69444444444446,3
CONDOMINIUM,14TH WARD - PITTSBURGH,2013,8,139.06560636182903,139.06560636182903,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2013,9,147.27272727272728,147.27272727272728,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2013,10,121.32463690155998,121.32463690155998,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2014,1,264.10564225690274,264.10564225690274,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2014,4,129.87012987012986,129.87012987012986,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2014,7,198.93127705627705,198.93127705627705,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2014,8,270.10804321728693,270.10804321728693,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2014,10,228.1931464174455,228.1931464174455,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2015,2,195.0,195.0,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2015,3,226.0834014717907,226.0834014717907,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2015,5,126.164136866478,126.164136866478,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2015,6,133.92857142857144,133.92857142857144,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2015,8,246.54377880184333,246.54377880184333,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2015,9,123.47826086956522,123.47826086956522,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2015,10,253.25520833333337,253.25520833333337,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2016,4,202.94117647058823,202.94117647058823,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2016,5,159.77548397794635,184.0,3
CONDOMINIUM,14TH WARD - PITTSBURGH,2016,6,163.4565000899803,151.7939282428703,3
CONDOMINIUM,14TH WARD - PITTSBURGH,2016,7,205.18134715025903,205.18134715025903,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2016,8,160.99669649577652,160.99669649577652,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2016,9,216.04139715394567,216.04139715394567,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2016,10,293.470286133529,293.470286133529,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2016,11,245.40538847117796,245.40538847117796,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2017,3,163.55140186915887,163.55140186915887,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2017,4,166.32411067193675,166.32411067193675,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2017,7,131.57894736842104,131.57894736842104,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2017,11,119.18485675306958,119.18485675306958,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2018,1,211.15072063784118,211.15072063784118,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2018,3,309.34343434343435,309.34343434343435,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2018,4,177.18916611541744,177.18916611541744,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2018,5,197.0014245014245,197.0014245014245,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2018,6,151.53846153846155,151.53846153846155,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2018,7,151.30434782608697,151.30434782608697,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2018,8,119.609079445145,119.609079445145,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2018,11,315.12605042016804,315.12605042016804,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2018,12,118.88888888888889,118.88888888888889,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2019,2,222.32364139840777,222.32364139840777,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2019,3,169.82924935593542,169.82924935593542,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2019,9,200.0,200.0,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2019,11,285.80216049382716,285.80216049382716,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2019,12,214.73753768236043,185.02581755593803,3
CONDOMINIUM,14TH WARD - PITTSBURGH,2020,2,215.71644277829844,209.0909090909091,3
CONDOMINIUM,14TH WARD - PITTSBURGH,2020,3,158.2608695652174,158.2608695652174,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2020,5,170.45454545454547,170.45454545454547,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2020,7,318.7758881490592,175.43859649122808,3
CONDOMINIUM,14TH WARD - PITTSBURGH,2020,8,202.7468933943754,202.7468933943754,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2020,9,217.27272727272728,217.27272727272728,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2020,10,278.08378705384155,278.08378705384155,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2020,12,180.37549407114625,180.37549407114625,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2021,2,123.71134020618555,123.71134020618555,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2021,3,216.44385026737967,216.44385026737967,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2021,6,181.11831442463537,181.11831442463537,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2021,7,169.31216931216932,169.31216931216932,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2021,8,208.26455020374448,218.1818181818182,5
CONDOMINIUM,14TH WARD - PITTSBURGH,2021,9,152.20941600205816,152.20941600205816,2
